title,description,new_link
CHRIS THAT GOODBYE,"Chris Eubank Jr vs Conor Benn will NOT happen, says boxing legend dad",https://www.thesun.co.uk/sport/33130370/chris-eubank-jr-conor-benn-fight-boxing/
HEAVY WAIT,Timeline for Anthony Joshua's return revealed as Fury fight hangs in balance,https://www.thesun.co.uk/sport/33119626/anthony-joshua-next-fight-date-tyson-fury-boxing-news/
AZIM VS LIPINETS,All the details you need as British superstar eyes world title,https://www.thesun.co.uk/sport/33098901/adam-azim-sergey-lipinets-start-time-tv-channel-stream/
COLIN HART,Boxing is show business with blood but dreadful mismatches will lead to disaster,https://www.thesun.co.uk/sport/33107746/colin-hart-naoya-inoue-jai-opetaia/
SPA SESSION,My champagne lunch with Chisora turned into a naked chat in scorching sauna,https://www.thesun.co.uk/sport/33104501/champagne-lunch-date-derek-chisora-naked-chat-sauna/
SHIELDS VS PERKINS,All the details as Shields looks to add to her heavyweight titles,https://www.thesun.co.uk/sport/33096248/claressa-shields-danielle-perkins-start-time-tv-channel-stream/
KHAN THEY LISTEN,Khan echoes nation in plea to Fury & AJ after facing same dilemma himself,https://www.thesun.co.uk/sport/33085730/amir-khan-tyson-fury-anthony-joshua/
WATCH OUT,Logan and Jake Paul claim they have had $1MILLION worth of watches stolen,https://www.thesun.co.uk/sport/33090159/logan-jake-paul-watches-stolen/
I KHAN BELIEVE IT,"Khan had me floored, he is a million miles from what fans think he is",https://www.thesun.co.uk/sport/33083868/my-day-with-amir-khan-flash-cocky-character-fans/
KNUCKLE UP,Joshua called out by ex-UFC star who went viral for brutal 36-second KO,https://www.thesun.co.uk/sport/33060952/anthony-joshua-ufc-bareknuckle-boxer-ben-rothwell/
PAUL FOR ALL,Jake Paul hints at never-before-seen fight with his BROTHER Logan,https://www.thesun.co.uk/sport/33059475/jake-paul-hints-at-never-before-seen-fight-with-his-brother-logan-hours-after-deleting-previous-teaser/
AMIR'S ORDEAL,"Terrifying gunpoint robbery was last straw, I had to leave UK, says Amir Khan",https://www.thesun.co.uk/sport/33034603/gunpoint-robbery-leave-uk-amir-khan/
FURY ROAD,Tommy Fury called out by former gang leader for next fight at amazing location,https://www.thesun.co.uk/sport/33049501/tommy-fury-matt-floyd-boxing-fight-former-gang-leader/
TOP TRUMPS,Tyson Fury and Paris enjoy romantic weekend away as boxer enjoys retirement,https://www.thesun.co.uk/sport/33040468/tyson-fury-paris-trump-boxing/
IT KHAN HAPPEN,Amir Khan reveals talks with KSI & says he wants to fight YouTube star,https://www.thesun.co.uk/sport/33031167/amir-khan-ksi-fight-wayne-bridge/
SMITH VS OUIZZA,"Smith blasts away Ouizza inside ONE ROUND, Scotney defends titles",https://www.thesun.co.uk/sport/32992374/dalton-smith-walid-ouizza-live-results-stream-latest-boxing-updates/
SCOT TO HURT,Boxer suffers horror cut & blood gushes down face as she defends world titles,https://www.thesun.co.uk/sport/33006987/ellie-scotney-cut-blood-titles/
DING DING,Anthony Joshua in line for shock trilogy fight as Fury showdown hangs in balance,https://www.thesun.co.uk/sport/32976161/anthony-joshua-next-fight-tyson-fury-boxing-news/
EU-TURN,Eubank v Benn ANNOUNCED with date and venue revealed three years after axed bout,https://www.thesun.co.uk/sport/32784289/chris-eubank-jr-conor-benn-announced-date-venue-fight/
CAGE SIDE,Inside Jake Paul's customised cage to train for MMA debut amid Fury rematch twist,https://www.thesun.co.uk/sport/26086247/jake-paul-cage-gym-mma-debut-tommy-fury-rematch/
GREAT SCOT,"Ellie Scotney vs Mea Motu: Start time, TV channel, live stream, undercard",https://www.thesun.co.uk/sport/32925598/ellie-scotney-vs-mea-motu-start-time-tv-stream/
"YES, SHEFF","Dalton Smith vs Walid Ouizza: Start time, TV channel, live stream, undercard",https://www.thesun.co.uk/sport/32928485/dalton-smith-vs-ouizza-tv-time-live-stream-undercard/
BRIDGE TOO FAR,Wayne Bridge's ex breaks silence after John Terry affair claim resurfaces,https://www.thesun.co.uk/sport/32922448/wayne-bridge-ex-vanessa-perroncel-ksi-john-terry/
MIKE DROP,Jake Paul puts Mike Tyson on his shoulders at Donald Trump inauguration party,https://www.thesun.co.uk/sport/32917973/jake-paul-mike-tyson-donald-trump/
ON THE ROPES,Inside toxic Misfits world…OF star 'choked unconscious' & revenge porn threats,https://www.thesun.co.uk/sport/32899387/misfits-boxing-ksi-logan-paul-wayne-bridge/
BRIDGE COLLAPSE,Wayne Bridge PULLS OUT of KSI fight after John Terry jibe 'crossed a line',https://www.thesun.co.uk/sport/32903592/wayne-bridge-pulls-out-ksi-fight-statement/
TRUMP CARD,Jake Paul pauses Conor McGregor feud as pair link up for Trump's inauguration,https://www.thesun.co.uk/sport/32899169/jake-paul-conor-mcgregor-trump-logan/
TALKING TURKI,"From AJ vs Fury to battle of P4P stars, Turki Alalshikh's four dream fights",https://www.thesun.co.uk/sport/32884503/anthony-joshua-tyson-fury-turki-alalshikh-dream-fights/
'NOW WE KNOW WHY',Tommy Fury brutally mocked by Misfits Boxing star after Darren Till fight,https://www.thesun.co.uk/sport/32882548/tommy-fury-misfits-boxing-darren-till-fight/
AP-PAUL-ED,Jake Paul's team send dig at KSI as fans slam 'embarrassing' Wayne Bridge fight,https://www.thesun.co.uk/sport/32881958/jake-paul-ksi-fight-wayne-bridge/
'WHAT HE DOES',Bridge hits back at KSI after YouTube star mocks infamous Terry feud,https://www.thesun.co.uk/sport/32881487/wayne-bridge-ksi-john-terry-misfits-boxing-fight/
TILL VS TAYLOR,Misfits star Taylor collapses in concerning scenes following KO loss,https://www.thesun.co.uk/sport/32850788/darren-till-anthony-taylor-misfits-boxing-20-live-results-updates/
BRIDGING THE GAP,Fans stunned as footage of Bridge boxing TV star emerges ahead of KSI bout,https://www.thesun.co.uk/sport/32881057/footage-wayne-bridge-boxing-ksi-fight/
'IT'S ALL GOOD',Misfits Boxing star speaks out after collapsing following loss to Till,https://www.thesun.co.uk/sport/32880445/misfits-boxing-anthony-taylor-collapsing-darren-till/
BRIDGE TOO FAR,Wayne Bridge pulled apart from KSI after brutal John Terry jibe at Misfits,https://www.thesun.co.uk/sport/32879424/ksi-misfits-boxing-wayne-bridge-john-terry/
DAN AND OUT,Afghan Dan 'dislocates shoulder' as Little T fight ends abruptly,https://www.thesun.co.uk/sport/32876993/afghan-dan-suffers-horror-shoulder-injury-as-little-t-fight-ends-abruptly-at-misfits-boxing-20/
LITTLE T VS AFGHAN DAN,Latest updates as fight ends after horror shoulder injury,https://www.thesun.co.uk/sport/32851350/little-t-afghan-dan-misfits-boxing-20-live-results-updates/
FITS AND STARTS,Tommy Fury set for boxing return but it leaves Jake Paul rematch in doubt,https://www.thesun.co.uk/sport/32873207/tommy-fury-boxing-darren-till-fight-jake-paul-rematch/
KHAN DO ATTITUDE,KSI set for Khan talks but 'son of Brit legend in line to fight him next',https://www.thesun.co.uk/sport/32871293/ksi-talks-fight-boxing-amir-khan/
FITS THE BILL,Champions League winner and ex-Prem star lined up for bouts on Misfits Boxing,https://www.thesun.co.uk/sport/32871416/wes-brown-wayne-bridge-fight-ksi-misfits-boxing/
HAPPY EVA AFTER,Mike Tyson considering fighting AGAIN for grudge match 30 YEARS in making,https://www.thesun.co.uk/sport/32871008/mike-tyson-fighting-again-jake-paul-evander-holyfield/
IT'S ALL GLOVE,Jake Paul's girlfriend Jutta Leerdam shares stunning pics on 28th birthday,https://www.thesun.co.uk/sport/32870643/jake-paul-girlfriend-jutta-leerdam-birthday/
